date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:51:27	121/121	---MC-	200	added ('OK')	text/plain	date:Fri,%2025%20Jul%202025%2022:51:25%20GMT	https://crestahealthcare.com/robots.txt		(from )
23:51:28	135869/135869	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Jul%202025%2022:51:26%20GMT	https://crestahealthcare.com/	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/index.html	(from )
23:51:28	1591/1591	---M--	200	added ('OK')	text/css	etag:%22637-63556d7baa637%22	https://crestahealthcare.com/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/main.css?ver=4.21	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/main6fc4.css	(from https://crestahealthcare.com/)
23:51:28	4719/4719	---M--	200	added ('OK')	text/css	etag:%22126f-63556d8d3b673%22	https://crestahealthcare.com/wp-content/plugins/metform/public/assets/lib/cute-alert/style.css?ver=3.9.8	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/plugins/metform/public/assets/lib/cute-alert/styleb526.css	(from https://crestahealthcare.com/)
23:51:29	22474/22474	---M--	200	added ('OK')	text/css	etag:%2257ca-63556d8d2faf3%22	https://crestahealthcare.com/wp-content/plugins/metform/public/assets/css/text-editor.css?ver=3.9.8	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/plugins/metform/public/assets/css/text-editorb526.css	(from https://crestahealthcare.com/)
23:51:29	4555/4555	---MC-	200	added ('OK')	application/rss+xml	etag:%229d5b81982e08b61617507ff1a221938e%22	https://crestahealthcare.com/feed/	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/feed/index.html	(from https://crestahealthcare.com/)
23:51:29	5756/5756	---M--	200	added ('OK')	text/css	etag:%22167c-6126f2541c100%22	https://crestahealthcare.com/wp-content/themes/hello-elementor/style.min.css?ver=3.0.1	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/themes/hello-elementor/style.min41fe.css	(from https://crestahealthcare.com/)
23:51:29	5131/5131	---M--	200	added ('OK')	text/css	etag:%22140b-6126f2541c100%22	https://crestahealthcare.com/wp-content/themes/hello-elementor/theme.min.css?ver=3.0.1	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/themes/hello-elementor/theme.min41fe.css	(from https://crestahealthcare.com/)
23:51:29	7325/7325	---M--	200	added ('OK')	text/css	etag:%221c9d-6126f2541c100%22	https://crestahealthcare.com/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.0.1	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/themes/hello-elementor/header-footer.min41fe.css	(from https://crestahealthcare.com/)
23:51:30	53422/53422	---M--	200	added ('OK')	text/css	etag:%22d0ae-63a87c7ae37fa%22	https://crestahealthcare.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.30.3	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/plugins/elementor/assets/css/frontend.min55cb.css	(from https://crestahealthcare.com/)
23:51:30	11596/11596	---M--	200	added ('OK')	text/css	etag:%222d4c-62a8d87544cbb%22	https://crestahealthcare.com/wp-content/uploads/elementor/css/post-13.css?ver=1735637209	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/uploads/elementor/css/post-13d668.css	(from https://crestahealthcare.com/)
23:51:30	1666/1666	---MC-	200	added ('OK')	application/rss+xml	etag:%229d5b81982e08b61617507ff1a221938e%22	https://crestahealthcare.com/comments/feed/	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/comments/feed/index.html	(from https://crestahealthcare.com/)
23:51:30	10310/10310	---M--	200	added ('OK')	text/css	etag:%222846-63a87c7ae66da%22	https://crestahealthcare.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.30.3	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min55cb.css	(from https://crestahealthcare.com/)
23:51:30	5150/5150	---M--	200	added ('OK')	text/css	etag:%22141e-63a87c7ae66da%22	https://crestahealthcare.com/wp-content/plugins/elementor/assets/css/widget-social-icons.min.css?ver=3.30.3	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/plugins/elementor/assets/css/widget-social-icons.min55cb.css	(from https://crestahealthcare.com/)
23:51:31	7025/7025	---M--	200	added ('OK')	text/css	etag:%221b71-63a87c7ae285a%22	https://crestahealthcare.com/wp-content/plugins/elementor/assets/css/conditionals/apple-webkit.min.css?ver=3.30.3	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/plugins/elementor/assets/css/conditionals/apple-webkit.min55cb.css	(from https://crestahealthcare.com/)
23:51:31	254/254	---M--	200	added ('OK')	text/css	etag:%22fe-63a87c7ae66da%22	https://crestahealthcare.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.30.3	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/plugins/elementor/assets/css/widget-image.min55cb.css	(from https://crestahealthcare.com/)
23:51:31	26891/26891	---M--	200	added ('OK')	text/css	etag:%22690b-635570a94cc57%22	https://crestahealthcare.com/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css?ver=3.28.4	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min89ce.css	(from https://crestahealthcare.com/)
23:51:31	720/720	---M--	200	added ('OK')	text/css	etag:%222d0-63a87c7ae66da%22	https://crestahealthcare.com/wp-content/plugins/elementor/assets/css/widget-text-editor.min.css?ver=3.30.3	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/plugins/elementor/assets/css/widget-text-editor.min55cb.css	(from https://crestahealthcare.com/)
23:51:32	600/600	---M--	200	added ('OK')	text/css	etag:%22258-63a87c7ae66da%22	https://crestahealthcare.com/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.30.3	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/plugins/elementor/assets/css/widget-heading.min55cb.css	(from https://crestahealthcare.com/)
23:51:32	16471/16471	---M--	200	added ('OK')	text/css	etag:%224057-63a87c7b1d1de%22	https://crestahealthcare.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://crestahealthcare.com/)
23:51:32	5486/5486	---M--	200	added ('OK')	text/css	etag:%22156e-63a87c7ae285a%22	https://crestahealthcare.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.30.3	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min55cb.css	(from https://crestahealthcare.com/)
23:51:32	382/382	---M--	200	added ('OK')	text/css	etag:%2217e-63a87c7ae66da%22	https://crestahealthcare.com/wp-content/plugins/elementor/assets/css/widget-image-carousel.min.css?ver=3.30.3	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/plugins/elementor/assets/css/widget-image-carousel.min55cb.css	(from https://crestahealthcare.com/)
23:51:33	137/137	---M--	200	added ('OK')	text/css	etag:%2289-63a87c7b106bd%22	https://crestahealthcare.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInDown.min.css?ver=3.30.3	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInDown.min55cb.css	(from https://crestahealthcare.com/)
23:51:33	4298/4298	---M--	200	added ('OK')	text/css	etag:%2210ca-63a87c7ae573a%22	https://crestahealthcare.com/wp-content/plugins/elementor/assets/css/widget-divider.min.css?ver=3.30.3	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/plugins/elementor/assets/css/widget-divider.min55cb.css	(from https://crestahealthcare.com/)
23:51:33	77/77	---M--	200	added ('OK')	text/css	etag:%224d-63a87c7b106bd%22	https://crestahealthcare.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.min.css?ver=3.30.3	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.min55cb.css	(from https://crestahealthcare.com/)
23:51:33	137/137	---M--	200	added ('OK')	text/css	etag:%2289-63a87c7b106bd%22	https://crestahealthcare.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInLeft.min.css?ver=3.30.3	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInLeft.min55cb.css	(from https://crestahealthcare.com/)
23:51:33	139/139	---M--	200	added ('OK')	text/css	etag:%228b-63a87c7b106bd%22	https://crestahealthcare.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInRight.min.css?ver=3.30.3	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInRight.min55cb.css	(from https://crestahealthcare.com/)
23:51:34	1494/1494	---M--	200	added ('OK')	text/css	etag:%225d6-63a87c7ae66da%22	https://crestahealthcare.com/wp-content/plugins/elementor/assets/css/widget-image-box.min.css?ver=3.30.3	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/plugins/elementor/assets/css/widget-image-box.min55cb.css	(from https://crestahealthcare.com/)
23:51:34	53519/53519	---M--	200	added ('OK')	text/css	etag:%22d10f-63238689252c5%22	https://crestahealthcare.com/wp-content/uploads/elementor/css/post-29.css?ver=1744067714	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/uploads/elementor/css/post-290e65.css	(from https://crestahealthcare.com/)
23:51:34	14286/14286	---M--	200	added ('OK')	text/css	etag:%2237ce-6397b00c0339f%22	https://crestahealthcare.com/wp-content/uploads/elementor/css/post-11.css?ver=1752050316	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/uploads/elementor/css/post-11e688.css	(from https://crestahealthcare.com/)
23:51:34	59344/59344	---M--	200	added ('OK')	text/css	etag:%22e7d0-63a87c7b1453e%22	https://crestahealthcare.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.30.3	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min55cb.css	(from https://crestahealthcare.com/)
23:51:35	26702/26702	---M--	200	added ('OK')	text/css	etag:%22684e-63a87c7b1453e%22	https://crestahealthcare.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.30.3	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min55cb.css	(from https://crestahealthcare.com/)
23:51:35	20921/20921	---M--	200	added ('OK')	text/css	etag:%2251b9-6397af4513988%22	https://crestahealthcare.com/wp-content/uploads/elementor/css/post-18.css?ver=1737067784	C:/Users/MY%20PC/Documents/Web_projects/Serene%20Touch/crestahealthcare.com/wp-content/uploads/elementor/css/post-18683b.css	(from https://crestahealthcare.com/)
